ZONE,ADJ_SA4,TRIP MODE,QUANTITY
23, City and Inner South (CBD),DRIVEALONE,486
23, City and Inner South (CBD),KNR_TRN,46
23, City and Inner South (CBD),PNR_TRN,46
23, City and Inner South (CBD),SHARED2,110
23, City and Inner South (CBD),SHARED3,16
23, City and Inner South (CBD),TAXI,6
23, City and Inner South (CBD),TNC_SHARED,6
23, City and Inner South (CBD),TNC_SINGLE,16
23, City and Inner South (CBD),WALK,346
23, City and Inner South (CBD),WALK_AB,51
23, City and Inner South (CBD),WALK_BM,123
23, City and Inner South (CBD),WALK_MR,204
24, City and Inner South (CBD),BIKE,14
24, City and Inner South (CBD),DRIVEALONE,384
24, City and Inner South (CBD),KNR_TRN,43
24, City and Inner South (CBD),PNR_TRN,44
24, City and Inner South (CBD),SHARED2,97
24, City and Inner South (CBD),SHARED3,8
24, City and Inner South (CBD),TAXI,10
24, City and Inner South (CBD),TNC_SHARED,10
24, City and Inner South (CBD),TNC_SINGLE,4
24, City and Inner South (CBD),WALK,277
24, City and Inner South (CBD),WALK_AB,71
24, City and Inner South (CBD),WALK_BM,75
24, City and Inner South (CBD),WALK_MR,153
25, City and Inner South (CBD),BIKE,5
25, City and Inner South (CBD),DRIVEALONE,278
25, City and Inner South (CBD),KNR_TRN,12
25, City and Inner South (CBD),PNR_TRN,9
25, City and Inner South (CBD),SHARED2,61
25, City and Inner South (CBD),SHARED3,11
25, City and Inner South (CBD),TAXI,3
25, City and Inner South (CBD),TNC_SHARED,3
25, City and Inner South (CBD),TNC_SINGLE,5
25, City and Inner South (CBD),WALK,113
25, City and Inner South (CBD),WALK_AB,36
25, City and Inner South (CBD),WALK_BM,49
25, City and Inner South (CBD),WALK_MR,107
26, City and Inner South (CBD),BIKE,15
26, City and Inner South (CBD),DRIVEALONE,505
26, City and Inner South (CBD),KNR_TRN,49
26, City and Inner South (CBD),PNR_TRN,24
26, City and Inner South (CBD),SHARED2,105
26, City and Inner South (CBD),SHARED3,10
26, City and Inner South (CBD),TAXI,6
26, City and Inner South (CBD),TNC_SHARED,8
26, City and Inner South (CBD),TNC_SINGLE,7
26, City and Inner South (CBD),WALK,215
26, City and Inner South (CBD),WALK_AB,82
26, City and Inner South (CBD),WALK_BM,130
26, City and Inner South (CBD),WALK_MR,207
27, City and Inner South (CBD),BIKE,14
27, City and Inner South (CBD),DRIVEALONE,618
27, City and Inner South (CBD),KNR_TRN,70
27, City and Inner South (CBD),PNR_TRN,68
27, City and Inner South (CBD),SCHOOLBUS,1
27, City and Inner South (CBD),SHARED2,141
27, City and Inner South (CBD),SHARED3,13
27, City and Inner South (CBD),TAXI,12
27, City and Inner South (CBD),TNC_SHARED,11
27, City and Inner South (CBD),TNC_SINGLE,14
27, City and Inner South (CBD),WALK,472
27, City and Inner South (CBD),WALK_AB,103
27, City and Inner South (CBD),WALK_BM,149
27, City and Inner South (CBD),WALK_MR,224
28, City and Inner South (CBD),BIKE,4
28, City and Inner South (CBD),DRIVEALONE,151
28, City and Inner South (CBD),KNR_TRN,15
28, City and Inner South (CBD),PNR_TRN,11
28, City and Inner South (CBD),SHARED2,37
28, City and Inner South (CBD),SHARED3,2
28, City and Inner South (CBD),TAXI,2
28, City and Inner South (CBD),TNC_SHARED,4
28, City and Inner South (CBD),TNC_SINGLE,3
28, City and Inner South (CBD),WALK,231
28, City and Inner South (CBD),WALK_AB,29
28, City and Inner South (CBD),WALK_BM,30
28, City and Inner South (CBD),WALK_MR,52
29, City and Inner South (CBD),BIKE,105
29, City and Inner South (CBD),DRIVEALONE,3417
29, City and Inner South (CBD),KNR_TRN,188
29, City and Inner South (CBD),PNR_TRN,101
29, City and Inner South (CBD),SHARED2,655
29, City and Inner South (CBD),SHARED3,74
